,time,nbTrans,V,Fee,height
109,1521692613,163,1451.2992975,0.02053495,514620
110,1521692745,257,1033.1262227,0.06688372,514621
111,1521693491,1189,6683.19782103,0.17914087,514622
112,1521694519,1593,7746.6728529,0.18195432,514623
113,1521694611,149,1540.03094262,0.02492571,514624
114,1521696392,2528,14936.44442619,0.35842008,514625
115,1521696531,437,2272.70853876,0.04130154,514626
116,1521696599,229,1041.45725802,0.02033216,514627
117,1521696610,18,98.71996493,0.01183988,514628
118,1521696985,665,5024.52591421,0.14184417,514629
119,1521697575,939,4262.33753832,0.13664827,514630
120,1521699522,2030,12887.87652048,0.40540054,514631
121,1521700122,1741,4422.76830202,0.12471408,514632
122,1521701096,2067,15968.6545652,0.29964691,514633
123,1521701764,1135,3615.06132955,0.1935711,514634
124,1521701958,127,1053.96178359,0.02972739,514635
125,1521702978,1919,10822.83211258,0.29627708,514636
126,1521703325,547,2419.56105277,0.068938,514637
127,1521704059,1357,7184.22527582,0.16899536,514638
128,1521705461,1932,8372.32401477,0.2604425,514639
129,1521705891,972,9647.84931062,0.12078714,514640
130,1521706586,1466,6324.09711013,0.18130416,514641
131,1521707704,1975,12742.16107551,0.24270595,514642
132,1521708679,1777,8282.95195353,0.30469545,514643
133,1521710007,2332,34839.48087147,0.36265217,514644
134,1521710782,1890,16231.24192206,0.26052698,514645
135,1521710881,405,2199.08716361,0.03812426,514646
136,1521711085,424,2135.23452938,0.09193708,514647
137,1521712024,2054,12769.0449693,0.49919767,514648
138,1521713088,2207,21980.72453474,0.55310126,514649
139,1521713392,748,7059.27827641,0.15630514,514650
140,1521713480,84,1653.06796435,0.03035405,514651
141,1521713754,848,4653.77732822,0.18590894,514652
142,1521713864,270,734.57371859,0.03401674,514653
143,1521714348,1129,6156.72046734,0.14318437,514654
144,1521714603,577,8948.81796902,0.06880792,514655
145,1521714742,361,4670.46786857,0.09516295,514656
146,1521715405,139,569.38349833,0.01856379,514657
147,1521715962,2335,40080.86071863,0.4751655,514658
148,1521716069,421,1551.14863261,0.07460501,514659
149,1521716226,342,4008.04027197,0.03752501,514660
150,1521716661,963,15381.96686231,0.16882706,514661
151,1521716750,287,1578.96600848,0.04446957,514662
152,1521716772,48,79.27467545,0.00554026,514663
153,1521717426,1577,6632.73292467,0.33456406,514664
154,1521717929,1206,4375.40584749,0.14704066,514665
155,1521718180,451,1976.26245006,0.05827258,514666
156,1521719384,2279,10736.93593444,0.36102034,514667
157,1521721234,2009,13175.00387246,0.60295419,514668
158,1521721794,1930,3376.77129412,0.13427209,514669
159,1521722602,2571,10564.30084138,0.48030164,514670
160,1521723387,2171,13105.6307629,0.3190094,514671
161,1521723508,800,6532.64554183,0.03849952,514672
162,1521724841,784,23676.78509771,0.77296038,514673
163,1521725079,715,6094.81763257,0.4272242,514674
164,1521725959,1581,20416.00936153,0.48305317,514675
165,1521726770,1386,20445.14550715,0.40007752,514676
166,1521727129,2225,13546.76979481,0.14228909,514677
167,1521727423,2486,13076.80690575,0.16313864,514678
168,1521727973,929,7835.21657438,0.16450318,514679
169,1521728338,2193,19786.32851523,0.17374637,514680
170,1521728935,1630,9465.67180138,0.17614774,514681
171,1521730194,2401,27068.98098028,0.51739328,514682
172,1521730604,1923,24679.9241633,0.1757743,514683
173,1521730753,379,2430.96644159,0.04944359,514684
174,1521730912,584,1513.39756396,0.18222967,514685
175,1521731716,2034,12468.54087737,0.27537115,514686
176,1521732603,1189,10235.17028387,0.33617005,514687
177,1521733811,2713,15343.35444263,0.41618686,514688
178,1521734026,2370,13149.4493556,0.09125833,514689
179,1521734146,525,4060.97859502,0.06080648,514690
180,1521734870,1956,7700.47526187,0.2767265,514691
181,1521735372,1363,5474.52085949,0.15801214,514692
182,1521736036,1430,11721.69470661,0.17112254,514693
183,1521736470,1232,2778.85395717,0.15812553,514694
184,1521736635,572,1429.97071167,0.0657004,514695
185,1521736990,898,6772.10628416,0.11264988,514696
186,1521737260,57,141.76342386,0.00861707,514697
187,1521737314,710,3966.84601916,0.1308466,514698
188,1521737398,196,1188.17367213,0.01607852,514699
189,1521738218,2283,8337.91679101,0.27981207,514700
190,1521738292,206,347.5938181,0.02501252,514701
191,1521739530,2795,9504.14690857,0.3277088,514702
192,1521739553,378,854.92975033,0.00586745,514703
193,1521740008,1107,3084.98685847,0.14107285,514704
194,1521740942,2265,7806.15454484,0.2667193,514705
195,1521741120,371,521.39715884,0.03650392,514706
196,1521741866,1256,2704.71107028,0.17001386,514707
197,1521741991,865,3944.09253194,0.03768463,514708
198,1521742437,525,2225.57329751,0.0942021,514709
199,1521745830,2004,9192.03881733,0.87820348,514710
200,1521746556,2246,9852.3366828,0.29879326,514711
201,1521746787,543,2237.29246258,0.43968467,514712
202,1521746930,1753,7875.16703525,0.08029185,514713
203,1521747060,2034,5456.0800342,0.19940642,514714
204,1521747239,2195,5272.68457312,0.08254175,514715
205,1521747349,1267,5483.06057158,0.04915191,514716
206,1521749313,2322,5837.73852323,0.52202783,514717
207,1521749625,2819,9280.03092702,0.10054568,514718
208,1521752300,2364,13560.43072675,0.50331895,514719
209,1521752500,3124,8630.77407566,0.14829678,514720
210,1521753139,2392,14213.1339725,0.13968045,514721
211,1521753408,974,2560.78887622,0.10283532,514722
212,1521753542,609,1329.65249105,0.15817863,514723
213,1521753666,721,2688.28864923,0.07320475,514724
214,1521755421,2482,11755.57371372,0.4412438,514725
215,1521755476,1550,4759.80634081,0.05465025,514726
216,1521756418,2350,5616.97657208,0.42055347,514727
217,1521757109,1644,3925.79772766,0.24840145,514728
218,1521758820,3100,8847.20257059,0.2957191,514729
219,1521759066,1007,2695.83362793,0.04795118,514730
220,1521761116,3092,12050.09388406,0.40598784,514731
221,1521761630,1605,5391.25168827,0.18569132,514732
222,1521762268,1348,4651.08570816,0.1254895,514733
223,1521762452,385,1011.53214686,0.048056,514734
224,1521763021,965,4261.51391066,0.08947244,514735
225,1521763050,47,132.76761948,0.00232112,514736
226,1521763203,278,381.91785994,0.02881639,514737
227,1521763224,98,570.06354527,0.02407908,514738
228,1521763261,59,319.82555812,0.01904119,514739
229,1521764041,1431,5458.30505233,0.1514057,514740
230,1521765701,2825,7967.6509811,0.3296832,514741
231,1521765712,208,604.43751058,0.00607843,514742
232,1521766163,868,4315.5366768,0.10939027,514743
233,1521766820,1165,4070.81031146,0.14668169,514744
234,1521767612,1442,5664.88398321,0.15207635,514745
235,1521768718,2069,6530.01539396,0.26582167,514746
236,1521770606,3026,31373.15736219,0.38353346,514747
237,1521770981,975,8229.20848484,0.07587192,514748
238,1521770991,16,67.50435121,0.00066978,514749
239,1521771918,1670,8179.0029315,0.20466618,514750
240,1521772581,1250,5727.6254128,0.18335284,514751
241,1521773641,1961,9854.64095506,0.48924046,514752
242,1521773806,338,2559.93787524,0.05790984,514753
243,1521773881,22,136.30251776,0.00517255,514754
244,1521774198,822,3074.66951795,0.21272057,514755
245,1521774433,448,864.25258155,0.06487433,514756
246,1521774983,1016,8007.97364923,0.13856278,514757
247,1521775932,1658,8298.80857955,0.20613292,514758
248,1521777183,2146,9669.80949074,0.34485528,514759
249,1521777252,129,632.36156294,0.01974401,514760
250,1521777269,26,73.8914771,0.00289344,514761
251,1521779509,2741,19442.4788162,0.43406848,514762
252,1521780151,2243,10060.72583309,0.18271892,514763
253,1521780985,1398,7356.73434081,0.25420182,514764
254,1521782721,2420,10918.595116,0.39110555,514765
255,1521785248,2194,17300.75318506,0.49504077,514766
256,1521789442,2151,31204.35591672,0.95008538,514767
257,1521789911,2223,15161.64492079,0.19299648,514768
258,1521795123,1983,55014.84430738,1.02958399,514769
259,1521795301,2051,21517.37204713,0.25345417,514770
260,1521796221,1966,15445.69015718,0.37205981,514771
261,1521797472,1413,9124.46153944,0.44393725,514772
262,1521798105,2014,4468.58144917,0.19128355,514773
263,1521798727,1792,3979.96062713,0.27638535,514774
264,1521798734,493,165.82929628,0.06221841,514775
265,1521798819,1251,3584.97557725,0.08092335,514776
266,1521799715,1642,7160.28923807,0.2621789,514777
267,1521799820,1588,4138.35361702,0.06768426,514778
268,1521800760,1951,6819.19108493,0.28273877,514779
269,1521800950,1446,16199.06851626,0.06641204,514780
