candle_24h,nb,V,V_EUR,Pmin,PQ1,Pmed,PQ3,Pmax,P_open,P_close,return
16694,319,21110.117296720044,17308.34366022674,0.805,0.81,0.82,0.82,0.9,0.8365,0.805,-0.037656903765690336
16695,444,35698.47886043002,27425.48317375188,0.73601,0.75,0.7709999999999999,0.8,0.805,0.805,0.7889,-0.020000000000000004
16696,158,14543.6127997,10912.840572866846,0.731,0.75,0.75,0.7547675,0.78,0.78,0.74,-0.05128205128205133
16697,58,5777.06542931,4441.76185287972,0.7341,0.7448100000000001,0.755,0.78399,0.8199700000000001,0.7341,0.77549,0.05638196431003956
16698,172,12553.482537050008,10147.025330325248,0.76217,0.8,0.81,0.81996,0.8466,0.7700100000000001,0.8466,0.09946624069817266
16699,180,7821.021120659995,6433.206078610055,0.7830199999999999,0.81,0.82585,0.83199,0.8975,0.835,0.79801,-0.04429940119760475
16700,260,19455.3395903,15560.251282337736,0.77,0.8,0.81,0.8242424999999999,0.82895,0.815,0.8209700000000001,0.007325153374233303
16701,89,3253.40599449,2579.7455007881517,0.78,0.79,0.795,0.79701,0.82747,0.78546,0.78806,0.0033101621979476172
16702,403,31591.16084900997,23522.81592023643,0.70101,0.73,0.7501,0.763725,0.79701,0.7929999999999999,0.721,-0.0907944514501891
16703,692,56069.281214639705,37168.8874794881,0.6,0.64,0.6559699999999999,0.6790275,0.7689600000000001,0.73373,0.6109899999999999,-0.1672822427868563
16704,78,3010.764427329999,1987.1537937369449,0.6190100000000001,0.645045,0.6559999999999999,0.67,0.69999,0.6420100000000001,0.68601,0.0685347580255758
16705,199,11313.050072420005,7445.096988859423,0.61002,0.659,0.65986,0.66701,0.69999,0.69999,0.6411899999999999,-0.0840012000171432
16706,476,27690.478136500034,15357.194271328406,0.5,0.5350075,0.56,0.5952375,0.64058,0.63,0.52993,-0.15884126984126984
16707,205,12693.584082930005,6909.0120633750585,0.5,0.526,0.55242,0.583,0.6199899999999999,0.50002,0.59059,0.18113275468981227
16708,215,11342.032012310005,7011.284990472982,0.55001,0.583,0.59399,0.6385449999999999,0.67,0.59,0.66,0.11864406779661027
16709,133,7768.436281700001,4719.800442169363,0.5710000000000001,0.60388,0.611,0.62,0.65594,0.6150100000000001,0.60706,-0.012926619079364585
16710,61,3085.8666672000013,1832.0650568558594,0.56701,0.5854699999999999,0.59099,0.59499,0.6167699999999999,0.60326,0.60973,0.010725060504591677
16711,21,985.3771526300003,628.8502234393014,0.61,0.621,0.6299899999999999,0.6309899999999999,0.64999,0.61,0.61716,0.011737704918032877
16712,26,698.9286772,418.3855410992279,0.5827399999999999,0.5915075000000001,0.59875,0.6,0.6109899999999999,0.6109899999999999,0.602,-0.014713825103520425
16713,124,7045.9611320400045,4065.164041556004,0.55483,0.5670375000000001,0.5870000000000001,0.5870000000000001,0.6,0.6,0.5555399999999999,-0.0741000000000001
16714,180,10604.337939190016,5792.98379268681,0.54,0.54981,0.55,0.552,0.5705399999999999,0.5529999999999999,0.57,0.03074141048824596
16715,60,4383.68470958,2393.971755308442,0.5270100000000001,0.54,0.548305,0.56,0.57,0.57,0.54661,-0.041035087719298084
16716,61,5287.617472489998,2898.297190850485,0.5270100000000001,0.5362100000000001,0.53985,0.55899,0.57,0.53838,0.57,0.05873175080797946
16717,103,7071.34124198,4141.8305769307235,0.56201,0.578,0.58467,0.592125,0.61388,0.57,0.58,0.017543859649122823
16718,28,868.9666791000002,490.1275352882554,0.55201,0.5655725,0.56572,0.5673275,0.57399,0.57,0.55805,-0.02096491228070159
16719,70,3595.24882426,1971.7490793884408,0.54,0.55,0.551,0.551,0.56166,0.552,0.55,-0.0036231884057971045
16720,41,935.4625052500003,524.6155203870283,0.5412,0.555,0.55938,0.56018,0.575,0.575,0.555,-0.034782608695652015
16721,121,11869.560974240005,6372.592767057136,0.53,0.53001,0.5332,0.54193,0.55582,0.55001,0.53,-0.03638115670624165
16722,558,84053.82756733995,42437.40234327942,0.41001,0.477745,0.5,0.519,0.53,0.53,0.46,-0.1320754716981132
16723,161,5031.683097310005,2438.294458031994,0.45088,0.48,0.4891,0.49,0.50735,0.45997,0.489,0.06311281170511121
16724,374,21628.486761860044,10554.024608330235,0.45811,0.4877,0.489,0.489,0.5091899999999999,0.489,0.467,-0.04498977505112467
16725,306,32842.23153764,15260.171041541566,0.46,0.461025,0.46454,0.467,0.491,0.467,0.48,0.027837259100642303
16726,29,1895.11977748,872.8987935335724,0.45,0.459,0.4598600000000001,0.465,0.47726,0.47301,0.4577600000000001,-0.03224033318534465
16727,87,6643.94275594,2922.8685177412017,0.425,0.4358850000000001,0.44,0.44281,0.456,0.456,0.44195,-0.030811403508771942
16728,219,31116.333276339985,12772.406506531397,0.38,0.4,0.42,0.42608,0.4494,0.42928,0.38,-0.11479686917629515
